iter	Passed	Remaining
0	756	3024043
1	1562	3124061
2	2294	3056655
3	3003	3000548
4	3704	2960046
5	4407	2933781
6	5131	2927395
7	5836	2912214
8	6559	2908709
9	7224	2882593
10	7950	2883321
11	8661	2878625
12	9418	2888463
13	10228	2912187
14	11062	2938857
15	11818	2942733
16	12527	2935095
17	13218	2924318
18	13966	2926324
19	14641	2913615
20	15343	2907220
21	16097	2910668
22	16785	2902418
23	17501	2899444
24	18276	2905920
25	19014	2906291
26	19748	2905901
27	20464	2903067
28	21170	2898908
29	21865	2893593
30	22634	2897952
31	23450	2907904
32	24197	2908838
33	24979	2913830
34	25763	2918684
35	26557	2924281
36	27292	2923231
37	28102	2930049
38	28870	2932175
39	29654	2935789
40	30341	2929843
41	31087	2929592
42	31826	2928791
43	32592	2930363
44	33336	2929893
45	34033	2925401
46	34833	2929708
47	35541	2926226
48	36299	2926937
49	37001	2923104
50	37695	2918825
51	38576	2928815
52	39374	2932281
53	40119	2931716
54	40858	2930687
55	41590	2929193
56	42307	2926613
57	43082	2928100
58	43871	2930482
59	44887	2947589
60	45738	2953510
61	46577	2958442
62	47389	2961475
63	48100	2958187
64	48888	2959612
65	49652	2959578
66	50412	2959265
67	51194	2960256
68	51962	2960359
69	52807	2964767
70	53564	2964146
71	54322	2963600
72	55063	2962113
73	55845	2962818
74	56712	2967965
75	57527	2970238
76	58249	2967718
77	59040	2968668
78	59770	2966590
79	60532	2966073
80	61398	2970634
81	62156	2969861
82	62943	2970456
83	63690	2969198
84	64496	2970635
85	65247	2969521
86	65940	2965818
87	66610	2961127
88	67373	2960660
89	68116	2959294
90	68800	2955397
91	69528	2953466
92	70284	2952695
93	71003	2950419
94	71780	2950540
95	72476	2947392
96	73237	2946874
97	73912	2942916
98	74688	2943046
99	75450	2942552
100	76186	2941108
101	76974	2941622
102	77715	2940348
103	78464	2939398
104	79212	2938415
105	79984	2938315
106	80701	2936189
107	81416	2934013
108	82124	2931625
109	82854	2930029
110	83694	2932310
111	84563	2935549
112	85409	2937931
113	86263	2940511
114	87026	2939981
115	87994	2946304
116	89035	2954910
117	89942	2958939
118	90824	2962111
119	91703	2965073
120	92562	2967364
121	93300	2965723
122	94041	2964229
123	94765	2962174
124	95627	2964454
125	96521	2967665
126	97300	2967273
127	98018	2965061
128	99086	2973365
129	100007	2977153
130	100927	2980815
131	101779	2982433
132	102613	2983493
133	103359	2981997
134	104195	2983081
135	105114	2986501
136	105893	2985887
137	106627	2984020
138	107570	2987979
139	108525	2992213
140	109420	2994702
141	110112	2991650
142	110922	2991795
143	111711	2991391
144	112511	2991257
145	113290	2990558
146	114280	2995395
147	115229	2999084
148	116407	3008614
149	117717	3021418
150	119179	3037903
151	120219	3043451
152	121109	3045145
153	121990	3046601
154	122748	3044953
155	123587	3045320
156	124472	3046794
157	125400	3049296
158	126198	3048618
159	127093	3050254
160	127849	3048545
161	128702	3049140
162	129548	3049557
163	130318	3048181
164	131170	3048728
165	131890	3046192
166	132616	3043816
167	133441	3043742
168	134251	3043306
169	135043	3042445
170	135763	3039998
171	136483	3037559
172	137316	3037633
173	138261	3040172
174	139118	3040737
175	139879	3039203
176	140722	3039444
177	141588	3040172
178	142365	3038986
179	143089	3036678
180	143975	3037810
181	144832	3038307
182	145661	3038205
183	146506	3038412
184	147269	3036933
185	148045	3035720
186	148927	3036680
187	149746	3036357
188	150662	3037953
